idinsert,folio,int,entidad,desc_ent,munici,desc_mun,locali,desc_loc,maq,completa,sexo,edad,meses,intsel,intsel2,eti001,eti002,eti003,eti101,eti102,eti102a_v1,eti102b_v1,eti102c_v1,eti102d_v1,eti102e_v1,eti102a_v2,eti102b_v2,eti102c_v2,eti102d_v2,eti102e_v2,eti102_1,eti103,eti104a,eti104b,eti104c,eti104d,eti1041a,eti1041b,eti1041c,eti1041d,eti1041e,eti1041f,eti1041g,eti1041esp,eti1042a,eti1042b,eti1042c,eti1042d,eti1042e,eti1042f,eti1042g,eti1042esp,eti105a,eti105b,eti105c,eti105d,eti105e,eti105f,eti105g,eti105h,eti105i,eti105j,eti105k,eti105l,eti105m,eti105n,eti105o,eti105p,eti105q,eti106a,eti106b,eti106c,eti106d,eti106e,eti107,eti108a,eti108b,eti108c,eti108d,eti108e,eti108f,eti108g,eti108esp,eti108h,eti109a,eti109b,eti109c,eti109d,eti109e,eti109f,eti109g,eti109esp,eti109h,eti110a,eti110b,eti110c,eti110d,eti110e,eti110f,eti110g,eti110esp,eti110h,eti111a,eti111b,eti111c,eti111d,TIEMPO_GEN,origen,c1,est_var,region_h,code_upm,rural,ponde_f,version,p6_figura1,p6_figura2,p6_ninguno,p6_NoSabeNoResp,p6_leen,edad1
1007288,140970822155A0300151,1,14,JALISCO,097,TLAJOMULCO DE ZÚÑIGA,0822,HACIENDA SANTA FE,MC129,1,2,35,4,1,10,3,8,1,1,1,,,,,,0,1,0,0,0,1,5,3,5,3,3,,,,,,,,,1,2,1,2,1,2,2,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,,,,1,,,,,,,,,1,,,,,,,,,,1,,,,,1,5,3,2,2016/10/04,0,1,223,2,2o76,2,5177.566766476188,2,0,1,0,0,1,2
1007211,14098000115380230231,1,14,JALISCO,098,TLAQUEPAQUE,0001,TLAQUEPAQUE,MC129,1,2,63,9,1,10,3,8,1,1,1,,,,,,1,0,0,0,0,1,4,5,4,5,5,,,,,,,,,1,1,1,1,1,2,2,,1,5,3,1,1,1,1,1,1,1,1,1,1,1,1,5,5,3,4,1,5,3,2,1,,,,1,,,,,1,,,,,,,,,1,,,1,,,,,,1,5,5,5,2016/10/04,0,1,222,2,2o58,2,9321.321933416704,2,1,0,0,0,1,5
1077120,14101000109840120081,3,14,JALISCO,101,TONALÁ,0001,TONALÁ,MC043,1,2,30,1,1,13,4,5,1,1,1,,,,,,0,1,0,0,0,2,4,4,1,4,3,,,,,,,,,1,1,1,1,1,1,1,PARA OBSERVAR CANTIDAD DE CARBOHIDRATOS,3,4,2,4,1,1,4,1,2,4,4,2,5,5,3,1,1,4,4,1,1,4,2,1,,1,1,1,,,,,1,,1,,1,,,,,,,,,1,,,,,2,3,4,4,2016/10/04,0,1,222,2,2o59,2,82708.4551809619,2,0,1,0,0,1,2
1076994,14120035601239990101,3,14,JALISCO,120,ZAPOPAN,0356,EJIDO COPALITA,MC043,1,2,44,11,1,10,4,5,1,1,1,,,,,,1,1,0,0,0,2,5,3,5,3,5,,,,,,,,,1,1,1,1,1,1,2,,5,2,4,3,2,1,1,3,3,1,1,3,4,2,1,1,1,2,1,2,4,5,2,1,,,1,1,,,,,1,,,,,,,,,1,,,1,1,,,,,2,5,5,5,2016/10/04,0,1,212,2,2o37,1,1732.5828638522007,2,1,1,0,0,2,3
1077667,14120074801239990111,2,14,JALISCO,120,ZAPOPAN,0748,VILLAS DEL VALLE,MC047,1,2,32,9,1,,5,4,1,1,1,,,,,,1,1,0,0,0,3,5,4,4,4,4,,,,,,,,,1,1,1,1,1,2,2,,4,3,3,4,4,1,5,4,4,2,1,1,3,3,3,1,4,2,3,1,5,1,4,1,,1,1,1,,,,,1,,1,,1,,,,,1,,,,,,,,,1,4,5,4,2016/10/04,0,1,212,2,2o37,1,8358.684503872013,2,1,1,0,0,2,2
944118,14018003700269990071,1,14,JALISCO,018,LA BARCA,0037,SAN RAMÓN,MC077,1,2,21,2,1,10,5,3,1,1,1,,,,,,0,1,0,0,0,3,3,3,3,3,3,,,,,,,,,1,1,1,2,1,1,2,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,5,2,1,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,4,5,4,2,2016/10/04,0,1,212,2,2o36,1,3204.633701751212,2,0,1,0,0,1,1
944112,14018003100269990081,1,14,JALISCO,018,LA BARCA,0031,SAN ANTONIO DE RIVAS,MC077,1,2,34,1,1,,4,3,1,1,1,,,,,,1,1,1,0,0,2,3,3,3,5,5,,,,,,,,,1,1,1,1,1,1,2,,3,3,3,3,3,1,3,1,3,3,3,3,3,1,1,1,3,3,3,3,3,3,2,1,,,1,1,,,,,,,,1,,,,,,1,,,,,,,,,1,4,5,5,2016/10/04,0,1,212,2,2o36,1,5343.874668883288,2,1,1,0,0,3,2
1077103,14039000146010160081,1,14,JALISCO,039,GUADALAJARA,0001,GUADALAJARA,MC043,1,2,54,8,1,,3,3,1,1,1,,,,,,1,1,0,0,0,1,4,4,1,3,3,,,,,,,,,1,1,1,1,1,1,1,PARA CONOCERLAS MAS,4,4,3,4,3,1,1,3,3,3,1,3,4,1,1,1,1,3,4,1,3,5,5,1,1,1,,1,,,,,1,1,1,,1,,,,,1,,,,1,,,,,3,5,4,4,2016/10/04,0,1,222,2,2o60,2,3949.836888452518,2,1,1,0,0,2,4
1077657,14120035601239990111,1,14,JALISCO,120,ZAPOPAN,0356,EJIDO COPALITA,MC047,1,2,53,2,1,,3,3,1,1,1,,,,,,1,1,0,0,0,3,5,4,4,3,4,,,,,,,,,1,1,1,1,1,2,2,,4,2,4,4,2,1,4,4,4,4,2,4,4,4,1,2,4,4,1,1,1,4,4,1,,,1,1,,,,,,,1,,,,,,,1,,,,1,,,,,3,4,5,4,2016/10/04,0,1,212,2,2o37,1,293.44916302557914,2,1,1,0,0,2,4
1077820,14039000146690290111,2,14,JALISCO,039,GUADALAJARA,0001,GUADALAJARA,MC047,1,2,44,3,1,,5,2,1,1,1,,,,,,1,1,0,0,0,2,5,3,1,4,4,,,,,,,,,1,1,1,2,1,1,2,,4,1,1,5,5,1,1,1,3,5,5,5,1,1,5,1,5,4,5,2,4,5,4,1,,1,1,1,,,,,1,,,,1,,,,,1,,,,1,,,,,2,5,4,2,2016/10/04,0,1,223,2,2o79,2,18853.95865422636,2,1,1,0,0,2,3
398444,14039000111850350101,2,14,JALISCO,039,GUADALAJARA,0001,GUADALAJARA,MC045,1,2,47,11,1,,4,2,1,1,1,,,,,,1,1,0,0,0,2,3,3,3,3,3,,,,,,,,,1,1,1,1,1,1,1,PORQUE SON PRODUCTOS NUEVOS,2,1,1,1,5,1,1,5,3,3,1,3,3,3,4,1,1,4,4,1,3,4,5,1,,,1,,,,,,1,,,1,,,,,,,,,1,,,,,,4,5,5,3,2016/10/04,0,1,223,2,2o78,2,19110.581980353334,2,1,1,0,0,2,3
944156,14101000114840230301,1,14,JALISCO,101,TONALÁ,0001,TONALÁ,MC077,1,2,46,4,1,10,4,2,1,1,1,,,,,,1,0,0,0,0,1,3,3,3,5,3,,,,,,,,,1,2,1,2,1,2,2,,3,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,3,1,3,1,2,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,3,2,5,3,2016/10/04,0,1,222,2,2o57,2,9528.56261030967,2,1,0,0,0,1,3
944096,14018001500269990061,1,14,JALISCO,018,LA BARCA,0015,EL GOBERNADOR,MC077,1,1,51,9,1,10,1,1,1,1,1,,,,,,0,0,1,0,0,1,3,3,3,2,3,,,,,,,,,1,1,1,1,2,1,2,,2,1,3,1,3,1,3,2,2,2,2,1,1,1,3,1,1,3,3,2,3,3,2,,,1,,,,,,,,,1,,,,,,,,1,,,,,,,,2,4,4,3,2016/10/04,0,1,212,2,2o36,1,9167.14788835385,2,0,0,0,0,1,4
1077765,14029008500539990041,2,14,JALISCO,029,CUQUÍO,0085,SAN JUAN DEL MONTE,MC047,1,2,21,10,1,10,1,1,1,1,1,,,,,,1,1,0,0,0,2,3,3,2,2,3,,,,,,,,,1,2,1,2,1,2,2,,2,1,1,1,1,1,2,3,3,1,1,1,3,2,1,1,1,4,4,1,3,1,2,1,,,1,1,,,,,1,,,,,,,,,1,,,,,,,,,4,5,2,3,2016/10/04,0,1,211,2,2o14,1,5883.932550356314,2,1,1,0,0,2,1
