folio,int,idinsert,entidad,munici,locali,sexo,edad,intsel,intsel2,completa,cam00,cam01,cam02,cam03,cam04a,cam04b,cam04c,cam04d,cam04e,cam04f,cam04esp,cam04g,cam05a,cam05b,cam05c,cam05d,cam05e,cam05f,cam05g,cam05esp,cam05h,cam05i,cam06,cam07,cam08,cam09,cam10,cam11,cam12,cam13,TIEMPO_GEN,region_h,code_upm,est_var,ponde_f,h218a,h218b,gp_edad,CHECATE,MIDETE,MUEVETE,Area
01001000127230380101,4,1065202,01,001,0001,2,25,1,,1,4,1,2,2,,,,,,,,,0,1,0,1,0,0,1,SEGURO SOCIAL,0,0,1,4,3,2,3,3,3,1,2016/10/04,2,2o71,223,25862.999901216917,3,3,1,0,0,0,1
01001000127230380181,2,1065215,01,001,0001,2,32,1,,1,4,1,1,1,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,,0,0,1,2,2,1,3,3,3,1,2016/10/04,2,2o71,223,10345.199960486769,2,1,1,0,0,1,1
01001000127230380271,2,1065210,01,001,0001,2,48,1,12,1,4,1,2,1,0,1,0,0,0,0,,0,0,1,0,0,0,0,0,,0,0,1,2,1,1,3,3,3,1,2016/10/04,2,2o71,223,8899.41131925979,3,3,2,0,0,1,1
01001000127230380351,2,1065227,01,001,0001,2,50,1,,1,4,1,4,1,0,1,0,0,0,0,,0,0,1,0,1,0,0,0,,0,0,1,3,4,4,3,3,3,1,2016/10/04,2,2o71,223,3455.374438768448,7,3,2,1,1,0,1
01001000127230380431,1,1065232,01,001,0001,1,25,1,10,1,4,1,2,2,,,,,,,,,0,1,0,0,0,0,0,,0,0,1,3,4,1,3,2,3,2,2016/10/04,2,2o71,223,7652.501338814054,4,3,1,1,0,1,1
01001000127230380521,2,1065198,01,001,0001,2,63,1,10,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016/10/04,2,2o71,223,6910.748877536896,2,3,3,0,0,0,1
02002000143500020021,1,1055876,02,002,0001,1,41,1,,1,4,1,4,2,,,,,,,,,0,1,0,0,0,0,0,,0,0,1,3,2,1,3,2,3,2,2016/10/04,1,1a45,122,15427.75440663246,3,3,2,1,0,1,1
02002000143500020091,2,1055880,02,002,0001,2,46,1,,1,4,2,,,,,,,,,,,,,,,,,,,,,,3,3,1,3,2,3,3,2016/10/04,1,1a45,122,9481.654423358454,2,6,2,1,0,1,1
02002000143500020111,1,1056013,02,002,0001,2,62,1,10,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016/10/04,1,1a45,122,3932.969203498224,3,3,3,0,0,0,1
02002000143500020131,1,1056015,02,002,0001,1,63,1,10,1,4,2,,,,,,,,,,,,,,,,,,,,,,3,4,1,3,2,3,3,2016/10/04,1,1a45,122,12363.482222061875,0,0,3,1,0,1,1
02002000143500020151,2,1055891,02,002,0001,2,22,1,10,1,4,1,1,2,,,,,,,,,0,1,0,0,0,0,0,,0,0,1,4,1,1,3,2,3,3,2016/10/04,1,1a45,122,8694.869531117343,3,3,1,0,0,1,1
02002000143500070081,1,1055884,02,002,0001,1,23,1,12,1,4,1,2,2,,,,,,,,,1,0,0,0,0,0,0,,0,0,2,3,2,1,3,3,3,2,2016/10/04,1,1a45,122,10874.016947329907,4,2,1,1,0,1,1
02002000143500070161,1,1055897,02,002,0001,2,27,1,10,1,4,1,1,2,,,,,,,,,0,1,0,0,0,0,0,,0,0,1,1,3,1,1,2,2,3,2016/10/04,1,1a45,122,4402.6402863911635,3,3,1,0,0,0,1
02002000143500070241,1,1055885,02,002,0001,2,57,1,,1,4,1,2,2,,,,,,,,,0,1,0,0,0,0,0,,0,0,1,3,1,1,3,1,3,2,2016/10/04,1,1a45,122,11948.735008723177,3,3,2,1,0,1,1
02002000143500070281,1,1055889,02,002,0001,1,50,1,10,1,4,2,,,,,,,,,,,,,,,,,,,,,,3,4,1,3,3,3,3,2016/10/04,1,1a45,122,12520.478821707107,0,0,2,1,1,1,1
02002000143500130021,3,1055323,02,002,0001,2,22,1,10,1,4,1,2,2,,,,,,,,,0,1,0,0,0,0,1,SEGURO SOCIAL, CENTRO DE SALUD,0,0,1,3,4,1,3,3,3,1,2016/10/04,1,1a45,122,14774.209203280692,10,1,1,1,1,1,1
02002000143500130051,1,1055332,02,002,0001,1,72,1,,1,4,2,,,,,,,,,,,,,,,,,,,,,,3,3,5,3,3,3,3,2016/10/04,1,1a45,122,11739.771664286847,2,1,3,1,0,0,1
02002000143500130071,2,1055419,02,002,0001,2,68,1,,1,4,2,,,,,,,,,,,,,,,,,,,,,,3,4,1,3,3,3,1,2016/10/04,1,1a45,122,6484.967308758058,0,0,3,1,1,1,1
