idinsert,folio,integrante,entidad,munici,locali,maq,sexo,edad,meses,intsel,intsel2,perc101,perc102,perc103,perc104,perc104aj,perc105aj,perc105,perc106,perc107,perc108,perc109,perc110,perc110aj,perc111,perc111aj,perc112,perc113,perc114,perc115,perc116,perc117,perc118,perc119,perc120,perc121,perc122,perc123,perc124,perc125,perc126,perc127,perc128,perc129,perc130,perc131,perc132,perc133,perc134,perc135,perc136,perc137,perc138,perc139,perc140,perc141,perc142,perc143,perc144,perc145,perc146,perc147,perc148,perc149,perc150,perc151,perc152,perc153,perc154,perc155,perc156,perc157,perc158,perc159,perc160,perc161,perc162,perc163,perc164,tiempo_gen,est_var,region_h,code_upm,rural,c1,ponde_f,etapa_af,etapa_fv
1065255,01001000127230130051,1,01,001,0001,MC035,1,41,1,1,13,1,1,,2,2,2,2,2,2,1,,2,2,2,2,2,2,2,1,3,2,2,1,1,2,2,1,2,1,1,1,1,1,1,4,3,3,3,3,4,2,3,3,1,1,1,1,2,1,3,4,2,2,2,2,2,1,1,1,1,1,1,2,1,1,2,2,2,2016/10/25,223,2,2o71,2,1,4201.472468499391,3,3
1065271,01001000127230130091,1,01,001,0001,MC035,1,47,5,1,10,1,2,1,,2,2,,1,2,1,,2,2,1,1,1,1,1,1,3,2,2,1,2,2,1,2,2,2,1,1,2,2,2,1,1,3,3,2,4,2,3,2,1,1,1,1,1,1,1,4,3,2,2,1,2,1,1,1,1,1,2,1,2,2,1,2,1,2016/10/25,223,2,2o71,2,1,2100.7362342496954,2,3
1065239,01001000127230130161,1,01,001,0001,MC035,2,30,8,1,,1,1,,1,1,1,1,1,2,1,,2,2,2,2,1,1,3,2,1,2,1,1,1,2,1,1,2,1,1,2,1,1,1,3,1,3,1,1,3,3,4,2,2,1,1,1,1,1,3,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2016/10/25,223,2,2o71,2,1,7376.9818941036665,5,3
1064477,01001000127230220081,3,01,001,0001,MC033,1,26,6,1,13,1,1,,2,2,2,2,1,1,1,,2,2,2,2,1,2,2,1,2,1,1,1,2,2,2,2,2,1,2,2,1,2,2,2,1,3,2,1,4,2,3,3,1,1,1,1,2,1,2,2,3,1,2,2,1,1,1,1,1,1,1,2,1,1,1,2,1,2016/10/25,223,2,2o71,2,1,43519.67421037169,3,3
1064527,01001000127230220271,1,01,001,0001,MC033,2,36,0,1,12,1,2,1,,2,2,,1,1,1,,1,1,1,1,2,3,1,1,1,2,2,1,1,2,2,2,2,2,2,2,1,2,2,1,1,3,3,3,2,2,3,2,2,2,2,2,1,1,3,3,3,2,2,1,1,2,2,2,2,2,1,2,1,1,1,1,1,2016/10/25,223,2,2o71,2,1,3004.8466142773664,2,5
1064499,01001000127230220331,1,01,001,0001,MC033,2,47,6,1,10,1,1,,1,1,1,1,1,2,2,1,,2,,2,1,1,3,3,1,2,2,1,2,2,1,2,2,2,2,2,2,1,2,4,2,1,3,3,2,2,3,1,1,1,1,1,1,1,2,3,3,2,3,2,1,1,88,1,1,1,1,2,2,1,2,1,2,2016/10/25,223,2,2o71,2,1,3004.8466142773664,5,2
1063904,01001000127230320011,1,01,001,0001,MC031,2,45,11,1,,2,1,,2,2,1,1,1,2,1,,2,2,2,2,2,1,1,1,2,2,2,1,1,2,2,1,2,1,1,1,1,1,2,2,1,3,1,1,4,2,3,2,1,1,1,1,1,1,2,3,3,2,1,2,2,1,88,88,1,1,1,2,1,1,1,2,1,2016/10/25,223,2,2o71,2,1,4088.7062434741883,3,3
1063870,01001000127230320181,1,01,001,0001,MC031,2,30,6,1,,1,1,,1,1,1,1,1,1,1,,2,2,1,1,2,2,1,4,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,4,3,3,3,3,3,2,3,2,1,1,1,1,1,1,3,2,1,2,3,2,2,1,1,1,1,1,2,2,2,1,1,2,2,2016/10/25,223,2,2o71,2,1,9265.742203106072,5,3
1063893,01001000127230320261,1,01,001,0001,MC031,2,36,10,1,,2,1,,2,2,2,2,2,1,1,,1,1,1,1,1,1,3,3,3,1,2,1,2,2,2,1,2,1,2,2,2,1,2,2,1,3,3,2,2,2,3,1,1,1,1,1,2,2,3,1,3,2,2,2,2,1,88,1,1,1,1,2,1,1,1,2,1,2016/10/25,223,2,2o71,2,1,4088.7062434741883,3,5
1063918,01001000127230320351,1,01,001,0001,MC031,2,34,0,1,,2,1,,1,1,1,1,2,2,1,,1,1,2,2,2,2,1,2,2,2,2,2,1,2,2,1,2,2,2,2,2,1,2,4,1,2,1,1,1,2,3,2,1,1,1,1,2,2,2,3,3,3,3,3,2,1,88,1,88,1,1,2,2,1,2,2,2,2016/10/25,223,2,2o71,2,1,9265.742203106072,5,4
1063865,01001000127230320431,1,01,001,0001,MC031,2,46,7,1,12,2,1,,1,1,1,1,1,2,1,,2,2,2,2,1,3,1,3,1,1,2,1,1,1,1,1,2,1,1,1,2,2,1,3,1,3,1,3,1,3,4,2,1,1,1,1,1,1,3,2,1,1,1,2,1,1,1,1,1,1,2,2,1,1,1,2,1,2016/10/25,223,2,2o71,2,1,4088.7062434741883,5,3
1063887,01001000127230320511,1,01,001,0001,MC031,2,29,5,1,10,2,2,1,,2,2,,2,2,1,,2,2,2,2,1,1,2,1,2,2,1,1,1,2,2,1,2,2,2,2,1,1,2,1,2,2,3,2,4,2,3,2,1,1,1,1,2,2,4,,2,2,2,2,2,1,88,1,1,1,1,2,1,1,1,1,1,2016/10/25,223,2,2o71,2,1,9265.742203106072,2,3
1065191,01001000127230380011,1,01,001,0001,MC035,1,47,5,1,10,1,1,,1,1,1,1,1,1,1,,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,3,2,3,3,1,2,2,2,2,1,1,2,3,3,2,2,2,2,1,1,1,1,1,1,2,1,1,1,1,1,2016/10/25,223,2,2o71,2,1,2914.8873176850257,5,3
1065202,01001000127230380101,4,01,001,0001,MC035,2,25,4,1,,2,1,,2,2,2,2,1,2,1,,2,2,2,2,2,2,3,2,3,1,1,1,2,2,1,1,1,1,2,1,2,2,2,4,2,3,3,3,1,2,4,1,1,1,1,1,1,1,3,3,3,1,2,2,1,1,88,1,1,1,1,2,1,2,1,2,1,2016/10/25,223,2,2o71,2,1,25589.922493999984,3,3
