folio,entidad,desc_ent,munici,desc_mun,locali,desc_loc,sa101,sa102,sa103,sa104,sa105,sa106,sa107,sa108,sa108a,sa109,sa110,sa111,sa112,sa113,sa114,sa115,code_upm,est_var,region_h,ponde_f,sum_total,niv_seg,area
02002012435799990141,02,BAJA CALIFORNIA,002,MEXICALI,0124,CAMPO LA CURVA (COLONIA SILVA),0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1o01,111,1,233.2956758311965,1,1,2
02002012435799990151,02,BAJA CALIFORNIA,002,MEXICALI,0124,CAMPO LA CURVA (COLONIA SILVA),1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1o01,111,1,233.2956758311965,1,1,2
020020167348A9990011,02,BAJA CALIFORNIA,002,MEXICALI,0167,EJIDO DISTRITO FEDERAL,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1o31,112,1,321.89676140001757,0,0,2
020020167348A9990041,02,BAJA CALIFORNIA,002,MEXICALI,0167,EJIDO DISTRITO FEDERAL,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1o31,112,1,321.89676140001757,0,0,2
020020167348A9990051,02,BAJA CALIFORNIA,002,MEXICALI,0167,EJIDO DISTRITO FEDERAL,1,1,1,1,0,1,1,0,1,1,1,0,1,1,0,0,1o31,112,1,321.89676140001757,10,2,2
020020167348A9990061,02,BAJA CALIFORNIA,002,MEXICALI,0167,EJIDO DISTRITO FEDERAL,0,0,0,0,0,0,0,0,0,,,,,,,,1o31,112,1,321.89676140001757,0,0,2
020020167348A9990081,02,BAJA CALIFORNIA,002,MEXICALI,0167,EJIDO DISTRITO FEDERAL,1,1,1,1,1,1,1,1,0,,,,,,,,1o31,112,1,321.89676140001757,8,3,2
020020167348A9990091,02,BAJA CALIFORNIA,002,MEXICALI,0167,EJIDO DISTRITO FEDERAL,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1o31,112,1,321.89676140001757,1,1,2
020020167348A9990101,02,BAJA CALIFORNIA,002,MEXICALI,0167,EJIDO DISTRITO FEDERAL,1,1,1,1,1,1,1,1,0,,,,,,,,1o31,112,1,321.89676140001757,8,3,2
020020167348A9990111,02,BAJA CALIFORNIA,002,MEXICALI,0167,EJIDO DISTRITO FEDERAL,1,0,0,0,1,1,1,1,0,,,,,,,,1o31,112,1,321.89676140001757,5,2,2
020020167348A9990121,02,BAJA CALIFORNIA,002,MEXICALI,0167,EJIDO DISTRITO FEDERAL,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1o31,112,1,321.89676140001757,4,1,2
020020167348A9990131,02,BAJA CALIFORNIA,002,MEXICALI,0167,EJIDO DISTRITO FEDERAL,0,0,0,0,0,0,0,1,0,,,,,,,,1o31,112,1,321.89676140001757,1,1,2
020020167348A9990141,02,BAJA CALIFORNIA,002,MEXICALI,0167,EJIDO DISTRITO FEDERAL,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1o31,112,1,321.89676140001757,3,1,2
020020167348A9990151,02,BAJA CALIFORNIA,002,MEXICALI,0167,EJIDO DISTRITO FEDERAL,1,0,1,1,0,0,0,0,0,,,,,,,,1o31,112,1,321.89676140001757,3,1,2
020020167348A9990191,02,BAJA CALIFORNIA,002,MEXICALI,0167,EJIDO DISTRITO FEDERAL,1,0,0,0,0,0,0,0,0,,,,,,,,1o31,112,1,321.89676140001757,1,1,2
