folio_sel,folio,code_upm,ponde_f,sexo,edad,rural,intp,dias1,gpo_diversidad1,recomendable1,dias2,gpo_diversidad2,recomendable2,dias3,gpo_diversidad3,recomendable3,dias4,gpo_diversidad4,recomendable4,dias5,gpo_diversidad5,recomendable5,dias6,gpo_diversidad6,recomendable6,dias7,gpo_diversidad7,recomendable7,dias8,gpo_diversidad8,recomendable8,dias9,gpo_diversidad9,recomendable9,dias10,gpo_diversidad10,recomendable10,dias11,gpo_diversidad11,recomendable11,dias12,gpo_diversidad12,recomendable12,dias13,gpo_diversidad13,recomendable13,est_var,region_h,diversidad
02002000143500020151,02002000143500020151.02,1a45,7215.97998046875,2,22,2,2,11.5,1,1,,0,,,0,,3,1,0,,0,,7,1,0,,0,,4,1,0,7,1,1,,0,,3,1,1,1,0,1,9,1,1,122,1,7
02002000143500070161,02002000143500070161.01,1a45,3653.81005859375,2,27,2,1,40.5,1,1,7,1,1,,0,,,0,,,0,,,0,,3,1,0,17,1,0,7,1,1,3,1,0,6,1,1,7,1,1,41.5,1,1,122,1,9
02002000143500070281,02002000143500070281.01,1a45,11605.2900390625,1,50,2,1,12,1,1,7,1,1,2,0,1,,0,,1,0,0,5.5,1,0,,0,,24,1,0,,0,,,0,,,0,,3,1,1,1,0,1,122,1,5
02002000143500130021,02002000143500130021.03,1a45,12261.3095703125,2,22,2,3,6,0,1,,0,,5.5,1,1,,0,,4,1,0,9,1,0,1,0,0,8,1,0,7,1,1,,0,,,0,,3,1,1,3,0,1,122,1,6
02002000143500130051,02002000143500130051.01,1a45,8735.2802734375,1,72,2,1,12,1,1,,0,,3,1,1,,0,,3,1,0,,0,,1,0,0,,0,,7,1,1,,0,,,0,,7,1,1,10,1,1,122,1,6
02002000143500130071,02002000143500130071.02,1a45,4613.02978515625,2,68,2,2,7,1,1,4,1,1,3,1,1,,0,,,0,,3,1,0,,0,,2,0,0,7,1,1,,0,,7,1,1,,0,,3,0,1,122,1,6
02002000143500130091,02002000143500130091.01,1a45,4705.64990234375,2,49,2,1,2,0,1,1,0,1,3,1,1,,0,,3,1,0,1,0,0,3,1,0,3,1,0,7,1,1,1,0,0,1,0,1,,0,,4,0,1,122,1,5
02002000143500130131,02002000143500130131.03,1a45,19546.69921875,1,31,2,3,17,1,1,3,1,1,3,1,1,,0,,1,0,0,4,1,0,,0,,7,1,0,7,1,1,,0,,,0,,3,1,1,8.5,1,1,122,1,8
02002000143500130151,02002000143500130151.01,1a45,5823.52001953125,1,68,2,1,48.5,1,1,7,1,1,12,1,1,,0,,2,0,0,8,1,0,7,1,0,7,1,0,7,1,1,,0,,10,1,1,7,1,1,23,1,1,122,1,10
02002000143500130171,02002000143500130171.02,1a45,6919.5400390625,2,65,2,2,15,1,1,7,1,1,1,0,1,3,1,0,3,1,0,,0,,3,1,0,7,1,0,7,1,1,,0,,10,1,1,,0,,13,1,1,122,1,9
02002000143500130191,02002000143500130191.01,1a45,6515.56982421875,1,32,2,1,4,0,1,3,1,1,4,1,1,,0,,1,0,0,3,1,0,5.5,1,0,2,0,0,7,1,1,,0,,10,1,1,3,1,1,12,1,1,122,1,8
02002000143500190021,02002000143500190021.02,1a45,4630.259765625,2,23,2,2,6,0,1,3,1,1,7,1,1,,0,,,0,,,0,,,0,,8.5,1,0,7,1,1,,0,,1,0,1,,0,,8,1,1,122,1,5
02002000143500190041,02002000143500190041.01,1a45,7353.35009765625,1,40,2,1,11.5,1,1,3,1,1,1,0,1,,0,,1,0,0,4,1,0,5,1,0,7,1,0,7,1,1,,0,,3,1,1,1,0,1,4,0,1,122,1,7
02002000143500190051,02002000143500190051.02,1a45,14762.900390625,1,30,2,2,2,0,1,3,1,1,1,0,1,,0,,3,1,0,7,1,0,2,0,0,10,1,0,7,1,1,,0,,3,1,1,3,1,1,,0,,122,1,7
02002000143500270021,02002000143500270021.02,1a45,5686.39990234375,2,49,2,2,8,1,1,3,1,1,6,1,1,,0,,2,0,0,6,1,0,3,1,0,7,1,0,7,1,1,,0,,10,1,1,,0,,19,1,1,122,1,9
02002000143500270031,02002000143500270031.03,1a45,8361.7197265625,2,69,2,3,5,0,1,,0,,1,0,1,,0,,1,0,0,1,0,0,7,1,0,15,1,0,7,1,1,,0,,3,1,1,3,1,1,11,1,1,122,1,6
02002000143500340031,02002000143500340031.01,1a45,2538.570068359375,2,64,2,1,22,1,1,3,1,1,6,1,1,3,1,0,,0,,,0,,7,1,0,7,1,0,7,1,1,,0,,10,1,1,3,1,1,9,1,1,122,1,10
02002000143500340051,02002000143500340051.01,1a45,21089.859375,1,26,2,1,9,1,1,9.5,1,1,7,1,1,6,1,0,3,1,0,4,1,0,7,1,0,14.5,1,0,7,1,1,,0,,3,1,1,7,1,1,11,1,1,122,1,12
02002012435799990011,02002012435799990011.01,1o01,194.2899932861328,2,82,1,1,5,0,1,3,1,1,,0,,,0,,1,0,0,6.5,1,0,4,1,0,10,1,0,7,1,1,,0,,,0,,1,0,1,,0,,111,1,5
02002012435799990021,02002012435799990021.02,1o01,1206.760009765625,2,49,1,2,13,1,1,14,1,1,5,1,1,,0,,,0,,1,0,0,3,1,0,9,1,0,7,1,1,,0,,3,1,1,3,1,1,19,1,1,111,1,9
02002012435799990031,02002012435799990031.02,1o01,804.510009765625,2,39,1,2,22,1,1,,0,,6,1,1,,0,,,0,,1,0,0,,0,,7,1,0,7,1,1,,0,,4,1,1,,0,,6,0,1,111,1,5
02002012435799990041,02002012435799990041.03,1o01,903.3599853515625,1,21,1,3,5,0,1,7,1,1,1,0,1,,0,,,0,,3,1,0,1,0,0,8.5,1,0,7,1,1,,0,,,0,,,0,,1,0,1,111,1,4
02002012435799990051,02002012435799990051.01,1o01,292.739990234375,1,42,1,1,24,1,1,9.5,1,1,3,1,1,,0,,1,0,0,3,1,0,1,0,0,10,1,0,7,1,1,,0,,,0,,3,1,1,5,0,1,111,1,7
02002012435799990061,02002012435799990061.01,1o01,585.47998046875,1,42,1,1,10,1,1,3,1,1,2,0,1,3,1,0,1,0,0,3,1,0,5,1,0,8,1,0,7,1,1,,0,,3,1,1,3,1,1,5,0,1,111,1,9
02002012435799990071,02002012435799990071.01,1o01,309.1600036621094,1,86,1,1,4,0,1,7,1,1,4,1,1,,0,,,0,,,0,,,0,,6,1,0,7,1,1,,0,,,0,,,0,,2,0,1,111,1,4
02002012435799990081,02002012435799990081.01,1o01,602.239990234375,1,30,1,1,10,1,1,7,1,1,6,1,1,,0,,1,0,0,,0,,,0,,9,1,0,7,1,1,,0,,6,1,1,3,1,1,7,1,1,111,1,8
